layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,correct_location,total_tokens,experiment
3,5,2.2649765014648438e-06,0.6316571831703186,2.2649141317409952e-06,278880.2368421053,example_0000,natural,front,4096,competition_sweep
3,6,5.960464477539063e-08,0.09112548828125,5.959918120260897e-08,1528832.0,example_0000,natural,front,4096,competition_sweep
3,7,6.377696990966797e-06,0.26040011644363403,6.376476973826529e-06,40829.80373831776,example_0000,natural,front,4096,competition_sweep
3,8,2.9802322387695312e-06,0.12036365270614624,2.9807476490098104e-06,40387.34,example_0000,natural,front,4096,competition_sweep
3,9,0.0006706714630126953,0.37163013219833374,0.0006706580316365581,554.1165126199787,example_0000,natural,front,4096,competition_sweep
3,10,3.5762786865234375e-07,0.052958905696868896,3.576361608783353e-07,148083.83333333334,example_0000,natural,front,4096,competition_sweep
3,11,2.3365020751953125e-05,0.582165539264679,2.336581877554407e-05,24916.11479591837,example_0000,natural,front,4096,competition_sweep
3,12,2.5153160095214844e-05,0.2000141143798828,2.5156610331557566e-05,7951.8483412322275,example_0000,natural,front,4096,competition_sweep
3,13,0.00013965368270874023,0.45848214626312256,0.0001396501201241366,3282.9935979513443,example_0000,natural,front,4096,competition_sweep
4,0,1.7285346984863281e-06,0.3288683295249939,1.7285058509327017e-06,190258.44827586206,example_0000,natural,front,4096,competition_sweep
4,1,7.152557373046875e-05,0.476104199886322,7.1519460743266e-05,6656.419166666667,example_0000,natural,front,4096,competition_sweep
4,2,8.952617645263672e-05,0.27638429403305054,8.95098934057549e-05,3087.189747003995,example_0000,natural,front,4096,competition_sweep
4,3,8.320808410644531e-05,0.38263946771621704,8.32086842209572e-05,4598.585243553009,example_0000,natural,front,4096,competition_sweep
4,4,2.4616718292236328e-05,0.6303898096084595,2.4618752097511718e-05,25608.198547215496,example_0000,natural,front,4096,competition_sweep
4,5,1.6689300537109375e-06,0.6567482352256775,1.6692220668057249e-06,393514.53571428574,example_0000,natural,front,4096,competition_sweep
4,6,4.172325134277344e-06,0.4611894488334656,4.1718835076624384e-06,110535.35714285714,example_0000,natural,front,4096,competition_sweep
4,7,0.0030097365379333496,0.5401965379714966,0.003009784257567675,179.482998316665,example_0000,natural,front,4096,competition_sweep
4,8,0.0009191632270812988,0.5068213939666748,0.000919268319406308,551.3943324038648,example_0000,natural,front,4096,competition_sweep
4,9,0.007420718669891357,0.4760493040084839,0.007421324683118812,64.15137470983703,example_0000,natural,front,4096,competition_sweep
4,10,8.344650268554688e-07,0.4893515110015869,8.344119100618395e-07,586425.4285714285,example_0000,natural,front,4096,competition_sweep
